node,node,cost
BL06,BL20,45
BL06,BL21,45
BL06,BL22,45
BL06,BL23,45
BL06,BL24,45
BL06,BL25,45
BL06,BL26,45
BL06,BL27,45
BL06,BL28,45
BL06,BL29,45
BL06,BL30,45
BL06,BL31,45
BL06,BL32,45
BL06,BL33,45
BL06,BL34,45
BL06,BL35,45
BL06,BL36,45
BL06,BL37,45
BL06,BL38,45
BL07,BL07,17
BL07,BL08,17
BL07,BL09,20
BL07,BL10,22
BL07,BL11,25
BL07,BL12,27
BL07,BL13,30
BL07,BL14,32
BL07,BL15,35
BL07,BL16,37
BL07,BL17,40
BL07,BL18,42
BL07,BL19,45
BL07,BL20,45
BL07,BL21,45
BL07,BL22,45
BL07,BL23,45
BL07,BL24,45
BL07,BL25,45
BL07,BL26,45
BL07,BL27,45
BL07,BL28,45
BL07,BL29,45
BL07,BL30,45
BL07,BL31,45
BL07,BL32,45
BL07,BL33,45
BL07,BL34,45
BL07,BL35,45
BL07,BL36,45
BL07,BL37,45
BL07,BL38,45
BL08,BL08,17
BL08,BL09,17
BL08,BL10,20
BL08,BL11,22
BL08,BL12,25
BL08,BL13,27
BL08,BL14,30
BL08,BL15,32
BL08,BL16,35
BL08,BL17,37
BL08,BL18,40
BL08,BL19,42
BL08,BL20,45
BL08,BL21,45
BL08,BL22,45
BL08,BL23,45
BL08,BL24,45
BL08,BL25,45
BL08,BL26,45
BL08,BL27,45
BL08,BL28,45
BL08,BL29,45
BL08,BL30,45
BL08,BL31,45
BL08,BL32,45
BL08,BL33,45
BL08,BL34,45
BL08,BL35,45
BL08,BL36,45
BL08,BL37,45
BL08,BL38,45
BL09,BL09,17
BL09,BL10,17
BL09,BL11,20
BL09,BL12,22
BL09,BL13,25
BL09,BL14,27
BL09,BL15,30
BL09,BL16,32
BL09,BL17,35
BL09,BL18,37
BL09,BL19,40
BL09,BL20,42
BL09,BL21,45
BL09,BL22,45
BL09,BL23,45
BL09,BL24,45
BL09,BL25,45
BL09,BL26,45
BL09,BL27,45
BL09,BL28,45
BL09,BL29,45
BL09,BL30,45
BL09,BL31,45
BL09,BL32,45
BL09,BL33,45
BL09,BL34,45
BL09,BL35,45
BL09,BL36,45
BL09,BL37,45
BL09,BL38,45
BL10,BL10,17
BL10,BL11,17
BL10,BL12,20
BL10,BL13,22
BL10,BL14,25
BL10,BL15,27
BL10,BL16,30
BL10,BL17,32
BL10,BL18,35
BL10,BL19,37
BL10,BL20,40
BL10,BL21,42
BL10,BL22,45
BL10,BL23,45
BL10,BL24,45
BL10,BL25,45
BL10,BL26,45
BL10,BL27,45
BL10,BL28,45
BL10,BL29,45
BL10,BL30,45
BL10,BL31,45
BL10,BL32,45
BL10,BL33,45
BL10,BL34,45
BL10,BL35,45
BL10,BL36,45
BL10,BL37,45
BL10,BL38,45
BL11,BL11,17
BL11,BL12,17
BL11,BL13,20
BL11,BL14,22
BL11,BL15,25
BL11,BL16,27
BL11,BL17,30
BL11,BL18,32
BL11,BL19,35
BL11,BL20,37
BL11,BL21,40
BL11,BL22,42
BL11,BL23,45
BL11,BL24,45
BL11,BL25,45
BL11,BL26,45
BL11,BL27,45
BL11,BL28,45
BL11,BL29,45
BL11,BL30,45
BL11,BL31,45
BL11,BL32,45
BL11,BL33,45
BL11,BL34,45
BL11,BL35,45
BL11,BL36,45
BL11,BL37,45
BL11,BL38,45
BL12,BL12,17
BL12,BL13,17
BL12,BL14,20
BL12,BL15,22
BL12,BL16,25
BL12,BL17,27
BL12,BL18,30
BL12,BL19,32
BL12,BL20,35
BL12,BL21,37
BL12,BL22,40
BL12,BL23,42
BL12,BL24,45
BL12,BL25,45
BL12,BL26,45
BL12,BL27,45
BL12,BL28,45
BL12,BL29,45
BL12,BL30,45
BL12,BL31,45
BL12,BL32,45
BL12,BL33,45
BL12,BL34,45
BL12,BL35,45
BL12,BL36,45
BL12,BL38,45
BL13,BL13,17
BL13,BL14,17
BL13,BL15,20
BL13,BL16,22
BL13,BL17,25
BL13,BL18,27
BL13,BL19,30
BL13,BL20,32
BL13,BL21,35
BL13,BL22,37
BL13,BL23,40
BL13,BL24,42
BL13,BL25,45
BL13,BL26,45
BL13,BL27,45
BL13,BL28,45
BL13,BL29,45
BL13,BL30,45
BL13,BL31,45
BL13,BL32,45
BL13,BL33,45
BL13,BL34,45
BL13,BL35,45
BL13,BL36,45
BL13,BL37,45
BL13,BL38,45
BL13,N08,0
BL14,BL14,17
BL14,BL15,17
BL14,BL16,20
BL14,BL17,22
BL14,BL18,25
BL14,BL19,27
BL14,BL20,30
BL14,BL21,32
BL14,BL22,35
BL14,BL23,37
